Scientific Name,Habitat Comments
Thorybes pylades,
Urbanus proteus,
Vanessa atalanta,
Vanessa cardui,
Vanessa virginiensis,
Vernia verna,
Zerene cesonia,
Anisota consularis,
Anisota peigleri,
Anisota pellucida,
Eacles imperialis,
Hemileuca maia,
Hemileuca maia maia,
Americerura scitiscripta,
Baltodonta broui,
Cecrita biundata,
Cecrita guttivitta,
Clostera inclusa,
Coelodasys apicalis,
Coelodasys unicornis,
Dasylophia puntagorda,
Datana angusii,
Datana contracta,
Datana drexelii,
Datana integerrima,
Datana major,
Datana ministra,
Datana modesta,
Datana perspicua,
Datana ranaeceps,
Ellida caniplaga,
Furcula borealis,
Furcula cinerea,
Gluphisia septentrionis,
Heterocampa astarte,
Heterocampa obliqua,
Heterocampa pulverea,
Heterocampa umbrata,
Heterocampa varia,
Hyparpax aurora,
Hyparpax perophoroides,
Ianassa lignicolor,
Lochmaeus bilineata,
Lochmaeus manteo,
Macrurocampa marthesia,
Misogada unicolor,
Nadata gibbosa,
Nerice bidentata,
Oedemasia concinna,
Oedemasia leptinoides,
Oedemasia semirufescens,
Paraeschra georgica,
Peridea angulosa,
Peridea basitriens,
Peridea bordeloni,
Peridea ferruginea,
Rifargia subrotata,
Schizura ipomaeae,
Schizura matheri,
Papaipema inquaesita,
Papaipema insulidens,
Papaipema maritima,
Papaipema nelita,
Papaipema rigida,
Papaipema rutila,
Agrius cingulata,
Amorpha juglandis,
Amphion floridensis,
Ceratomia amyntor,
Ceratomia catalpae,
Ceratomia hageni,
Ceratomia undulosa,
Darapsa choerilus,
Darapsa myron,
Darapsa versicolor,
Deidamia inscripta,
Dolba hyloeus,
Enyo lugubris,
Eumorpha achemon,
Eumorpha fasciatus,
Eumorpha intermedia,
Eumorpha pandorus,
Hemaris diffinis,
Hemaris gracilis,
Hemaris thysbe,
Hyles lineata,
Isoparce cupressi,
Lapara bombycoides,
Lapara coniferarum,
Lapara phaeobrachycerous,
Lintneria eremitus,
Manduca jasminearum,
Manduca quinquemaculata,
Manduca rustica,
Manduca sexta,
Pachysphinx modesta,
Paonias astylus,
Paonias excaecata,
Paonias myops,
Paratrea plebeja,
Proserpinus gaurae,
Smerinthus jamaicensis,
Sphecodina abbottii,
Sphinx canadensis,
Sphinx chersis,
Sphinx drupiferarum,
Sphinx franckii,
Sphinx kalmiae,
Xylophanes tersa,
Cisseps fulvicollis,
Cisthene kentuckiensis,
Cisthene plumbea,
Cisthene tenuifascia,
Clemensia albata,
Clemensia ochreata,
Cosmosoma myrodora,
Cycnia tenera,
Halysidota harrisii,
Halysidota tessellaris,
Haploa clymene,
Haploa lecontei,
Hypoprepia fucosa,
Lycomorpha pholus,
Pyrrharctia isabella,
Utetheisa ornatrix,
Catocala agrippina,
Catocala alabamae,
Catocala amatrix,
Catocala amestris,
Catocala amica,
Catocala andromedae,
Catocala angusi,
Catocala blandula,
Catocala cara,
Catocala carissima,
Catocala cerogama,
Catocala clintonii,
Catocala coccinata,
Catocala connubialis,
Catocala consors,
Catocala crataegi,
Catocala dejecta,
Catocala delilah,
Catocala epione,
Catocala flebilis,
Catocala gracilis,
Catocala grisatra,
Catocala grynea,
Catocala habilis,
Catocala ilia,
Catocala illecta,
Catocala innubens,
Catocala insolabilis,
Catocala lacrymosa,
Catocala lincolnana,
Catocala lineella,
Catocala louiseae,
Catocala luctuosa,
Catocala maestosa,
Catocala marmorata,
Catocala messalina,
Catocala micronympha,
Catocala minuta,
Catocala mira,
Catocala miranda,
Catocala muliercula,
Catocala myristica,
Catocala nebulosa,
Catocala neogama,
Catocala obscura,
Catocala orba,
Catocala palaeogama,
Catocala piatrix,
Catocala praeclara,
Catocala praeclara charlottae,
Catocala pretiosa,
Catocala pretiosa texarkana,
Catocala residua,
Catocala retecta,
Catocala robinsonii,
Catocala sappho,
Catocala serena,
Catocala similis,
Catocala sordida,
Catocala sp. 1 nr. jair,
Catocala subnata,
Catocala ulalume,
Catocala ultronia,
Catocala umbrosa,
Catocala vidua,
Abrostola ovalis,
Acherdoa ferraria,
Acrapex relicta,
Acrobasis nuxvorella,
Acronicta albarufa,
Acronicta dolli,
Acronicta perblanda,
Acronicta sinescripta,
Adoneta bicaudata,
Aethiophysa invisalis,
Agrotis vetusta,
Anania funebris,
Aphomia sociella,
Apodrepanulatrix liberaria,
Autographa ampla,
Autosticha kyotensis,
Bagisara brouana,
Cabera quadrifasciaria,
Cactoblastis cactorum,
Cadra cautella,
Cerastis fishii,
Chaetaglaea tremula,
Cherokeea attakullakulla,
Choristostigma roseopennalis,
Cliniodes ostreonalis,
Coleophora mayrella,
Compacta capitalis,
Crambus daeckellus,
Cucullia alfarata,
Cyclophora culicaria,
Cydia pomonella,
Cydosia majuscula,
Dargida rubripennis,
Dasychira dominickaria,
Derrima stellata,
Diaphania nitidalis,
Dichagyris reliqua,
Dichomeris ligulella,
Dinumma deponens,
Ecpyrrhorrhoe puralis,
Epirrita autumnata,
Erastria coloraria,
Eucoptocnemis dapsilis,
Eucoptocnemis fimbriaris,
Eusarca packardaria,
Euxoa violaris,
Euzophera magnolialis,
Exyra fax,
Exyra ridingsii,
Exyra semicrocea,
Fagitana littera,
Fernaldella georgiana,
Galleria mellonella,
Garella nilotica,
Goya stictella,
Grapholita molesta,
Hadena ectypa,
Homadaula anisocentra,
Hyppa contrasta,
Idia gopheri,
Lacinipolia erecta,
Lithophane abita,
Lithophane laceyi,
Lithophane lemmeri,
Lithophane lepida adipel,
Lithophane tepida,
Lytrosis permagnaria,
Macaria notata appalachiata,
Megalopyge pyxidifera,
Mesoleuca ruficillata,
Metarranthis mollicularia,
Monopis longella,
Neoligia crytora,
Noctua pronuba,
Ostrinia nubilalis,
Packardia elegans,
Photedes carterae,
Photedes enervata,
Phthorimaea operculella,
Polia imbrifera,
Polia nimbosa,
Polychrysia morigera,
Polygrammodes langdonalis,
Ponometia exigua,
Ponometia fasciatella,
Ponometia parvula,
Promalactis suzukiella,
Prosoparia floridana,
Pseudeustrotia indeterminata,
Pseudeva purpurigera,
Ptichodis pacalis,
Pyralis farinalis,
Pyrausta homonymalis,
Pyrrhia aurantiago,
Resapamea trigona,
Scardia amurensis,
Schinia arefacta,
Schinia fulleri,
Schinia petulans,
Schinia psamathea,
Schinia spinosae,
Scoparia dominicki,
Selenia alciphearia,
Sicya macularia,
Sideridis congermana,
Sideridis ruisa,
Sideridis vindemialis,
Sitochroa dasconalis,
Spodoptera exigua,
Sutyna privata,
Sympistis chionanthi,
Sympistis eleaner,
Synanthedon castaneae,
Synanthedon scitula,
Tinea pellionella,
Xylotype capax,
Zale perculta,
Agapetus jocassee,
Agapetus pinatus,
Agapetus tomus,
Agapetus vireo,
Agapetus walkeri,
Agarodes crassicornis,
Agarodes distinctus,
Agarodes georgia,
Agarodes griseus,
Agarodes tetron,
Agrypnia vestita,
Anisocentropus pyraloides,
Arctopsyche irrorata,
Banksiola concatenata,
Beraea gorteba,
Brachycentrus appalachia,
Brachycentrus chelatus,
Brachycentrus etowahensis,
Brachycentrus nigrosoma,
Brachycentrus numerosus,
Brachycentrus spinae,
Ceraclea ancylus,
Ceraclea cancellata,
Ceraclea diluta,
Ceraclea enodis,
Ceraclea maculata,
Ceraclea nepha,
Ceraclea protonepha,
Ceraclea slossonae,
Ceraclea tarsipunctata,
Ceraclea transversa,
Cernotina spicata,
Cheumatopsyche analis,
Cheumatopsyche campyla,
Cheumatopsyche edista,
Cheumatopsyche ela,
Cheumatopsyche enigma,
Cheumatopsyche etrona,
Cheumatopsyche geora,
Cheumatopsyche gyra,
Cheumatopsyche harwoodi,
Cheumatopsyche minuscula,
Cheumatopsyche oxa,
Cheumatopsyche pasella,
Cheumatopsyche pinaca,
Cheumatopsyche sordida,
Cheumatopsyche virginica,
Chimarra aterrima,
Chimarra falculata,
Chimarra florida,
Chimarra moselyi,
Chimarra obscura,
Chimarra socia,
Cyrnellus fraternus,
Dibusa angata,
Diplectrona marianae,
Diplectrona metaqui,
Diplectrona modesta,
Dolophilodes distincta,
Dolophilodes major,
Fattigia pele,
Glossosoma nigrior,
Goera calcarata,
Goera fuscula,
Goera townesi,
Helicopsyche borealis,
Heteroplectron americanum,
Hydatophylax argus,
Hydropsyche alvata,
Hydropsyche betteni,
Hydropsyche bidens,
Hydropsyche carolina,
Hydropsyche catawba,
Hydropsyche decalda,
Hydropsyche demora,
Hydropsyche depravata,
Hydropsyche dicantha,
Hydropsyche elissoma,
Hydropsyche fattigi,
Hydropsyche franclemonti,
Hydropsyche incommoda,
Hydropsyche macleodi,
Hydropsyche morosa,
Hydropsyche orris,
Hydropsyche phalerata,
Hydropsyche rossi,
Hydropsyche scalaris,
Hydropsyche slossonae,
Hydropsyche sparna,
Hydropsyche venularis,
Hydroptila alabama,
Hydroptila gunda,
Hydroptila hamata,
Hydroptila latosa,
Hydroptila licina,
Hydroptila micropotamis,
Hydroptila novicola,
Hydroptila oneili,
Hydroptila paramoena,
Hydroptila quinola,
Hydroptila roberta,
Hydroptila talladega,
Hydroptila waubesiana,
Ironoquia punctatissima,
Lepidostoma americanum,
Lepidostoma bryanti,
Lepidostoma glenni,
Lepidostoma griseum,
Lepidostoma latipenne,
Lepidostoma lobatum,
Lepidostoma lydia,
Lepidostoma tibiale,
Lepidostoma togatum,
Lype diversa,
Macrostemum carolina,
Macrostemum transversum,
Macrostemum zebratum,
Mayatrichia ayama,
Micrasema bennetti,
Micrasema burksi,
Micrasema rickeri,
Micrasema rusticum,
Micrasema scotti,
Micrasema wataga,
Molanna blenda,
Molanna tryphena,
Mystacides sepulchralis,
Nectopsyche albida,
Nectopsyche candida,
Nectopsyche exquisita,
Nectopsyche pavida,
Neophylax atlanta,
Neophylax concinnus,
Neophylax consimilis,
Neophylax oligius,
Neophylax ornatus,
Neotrichia armitagei,
Neotrichia mentonensis,
Neotrichia minutisimella,
Neotrichia vibrans,
Neureclipsis crepuscularis,
Neureclipsis melco,
Neureclipsis piersoni,
Nyctiophylax affinis,
Nyctiophylax barrorum,
Nyctiophylax celta,
Nyctiophylax denningi,
Nyctiophylax nephophilus,
Oecetis avara,
Oecetis cinerascens,
Oecetis ditissa,
Oecetis georgia,
Oecetis inconspicua,
Oecetis nocturna,
Oecetis parva,
Oecetis persimilis,
Oecetis sphyra,
Orthotrichia aegerfasciella,
Orthotrichia cristata,
Oxyethira abacatia,
Oxyethira dunbartonensis,
Oxyethira forcipata,
Oxyethira glasa,
Oxyethira grisea,
Oxyethira janella,
Oxyethira lumosa,
Oxyethira maya,
Oxyethira michiganensis,
Oxyethira novasota,
Oxyethira pallida,
Oxyethira rivicola,
Oxyethira setosa,
Oxyethira zeronia,
Padunia jeanae,
Parapsyche cardis,
Phylocentropus auriceps,
Phylocentropus carolinus,
Phylocentropus lucidus,
Phylocentropus placidus,
Platycentropus radiatus,
Plectrocnemia crassicornis,
Plectrocnemia nascotia,
Polycentropus blicklei,
Polycentropus confusus,
Polycentropus elarus,
Polycentropus thaxtoni,
Potamyia flava,
Protoptila georgiana,
Pseudogoera singularis,
Psilotreta amera,
Psilotreta frontalis,
Psilotreta labida,
Ptilostomis ocellifera,
Ptilostomis postica,
Ptilostomis semifasciata,
Pycnopsyche antica,
Pycnopsyche flavata,
Pycnopsyche gentilis,
Pycnopsyche guttifera,
Pycnopsyche indiana,
Pycnopsyche lepida,
Pycnopsyche luculenta,
Pycnopsyche scabripennis,
Pycnopsyche sonso,
Pycnopsyche subfasciata,
Rhyacophila carolina,
Rhyacophila dandaganu,
Rhyacophila formosa,
Rhyacophila fuscula,
Rhyacophila glaberrima,
Rhyacophila ledra,
Rhyacophila nigrita,
Rhyacophila teddyi,
Setodes incertus,
Setodes stehri,
Triaenodes aba,
Triaenodes bicornus,
Triaenodes cumberlandensis,
Triaenodes dendyi,
Triaenodes flavescens,
Triaenodes florida,
Triaenodes helo,
Triaenodes ignitus,
Triaenodes injustus,
Triaenodes marginatus,
Triaenodes milnei,
Triaenodes nox,
Triaenodes ochraceus,
Triaenodes perna,
Triaenodes smithi,
Triaenodes taenia,
Triaenodes tardus,
Wormaldia moesta,
Acanthametropus pecatonica,
Acentrella parvula,
Acentrella turbida,
Acerpenna pygmaea,
Ameletus tertius,
Amercaenis cusabo,
Anthopotamus distinctus,
Anthopotamus myops,
Anthopotamus neglectus,
Anthopotamus verticis,
Apobaetis etowah,
Asioplax dolani,
Attenella attenuata,
Baetis flavistriga,
Baetis intercalaris,
Baetis tricaudatus,
Baetisca carolina,
Baetisca gibbera,
Baetisca lacustris,
Baetisca obesa,
Baetisca rogersi,
Brachycercus berneri,
Brachycercus nitidus,
Caenis amica,
Caenis diminuta,
Caenis hilaris,
Caenis latipennis,
Caenis macafferti,
Caenis punctata,
Callibaetis floridanus,
Callibaetis pretiosus,
Cercobrachys etowah,
Choroterpes basalis,
Cinygmula subaequalis,
Dannella simplex,
Dentatella coxalis,
Diphetor hageni,
Dolania americana,
Drunella allegheniensis,
Drunella cornuta,
Drunella cornutella,
Drunella lata,
Drunella tuberculata,
Drunella walkeri,
